arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,OneOrMore,1,4,0,3,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ZeroOrMore,3,4,0,8,2,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_NullToken,2,1,0,2,0,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Optional,3,3,0,9,1,3
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,SkipTo,2,3,0,13,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Forward,8,3,1,21,7,22
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_ForwardNoRecurse,1,4,0,1,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,TokenConverter,1,3,4,3,1,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Combine,3,4,0,12,6,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Group,2,4,0,4,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Dict,2,4,0,12,3,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Suppress,2,4,0,2,0,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,OnlyOnce,3,1,0,6,0,3
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,pyparsing_common,3,1,0,8,1,3
clones/scikit-learn/scikit-learn\examples\applications\plot_out_of_core_classification.py,ReutersParser,16,1,0,24,0,119
clones/scikit-learn/scikit-learn\examples\applications\svm_gui.py,Model,5,1,0,9,1,10
clones/scikit-learn/scikit-learn\examples\applications\svm_gui.py,Controller,6,1,0,29,2,12
clones/scikit-learn/scikit-learn\examples\applications\svm_gui.py,View,8,1,0,41,1,13
clones/scikit-learn/scikit-learn\examples\applications\svm_gui.py,ControllBar,1,1,0,9,0,0
clones/scikit-learn/scikit-learn\examples\bicluster\plot_bicluster_newsgroups.py,NumberNormalizingVectorizer,1,1,0,6,0,0
clones/scikit-learn/scikit-learn\examples\calibration\plot_calibration_curve.py,NaivelyCalibratedLinearSVC,2,1,0,8,0,1
clones/scikit-learn/scikit-learn\examples\calibration\plot_compare_calibration.py,NaivelyCalibratedLinearSVC,2,1,0,8,0,1
clones/scikit-learn/scikit-learn\examples\cluster\plot_inductive_clustering.py,InductiveClusterer,4,1,0,12,0,3
clones/scikit-learn/scikit-learn\examples\developing_estimators\sklearn_is_fitted.py,CustomEstimator,5,1,0,10,0,10
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_on_structured_data.py,SequenceKernel,8,1,0,14,0,27
clones/scikit-learn/scikit-learn\examples\miscellaneous\plot_metadata_routing.py,ExampleClassifier,2,1,0,6,0,1
clones/scikit-learn/scikit-learn\examples\miscellaneous\plot_metadata_routing.py,MetaClassifier,4,1,0,13,2,5
clones/scikit-learn/scikit-learn\examples\miscellaneous\plot_metadata_routing.py,RouterConsumerClassifier,4,1,0,16,2,5
clones/scikit-learn/scikit-learn\examples\miscellaneous\plot_metadata_routing.py,SimplePipeline,4,1,0,12,3,5
clones/scikit-learn/scikit-learn\examples\miscellaneous\plot_metadata_routing.py,ExampleTransformer,3,1,0,6,1,2
clones/scikit-learn/scikit-learn\examples\miscellaneous\plot_metadata_routing.py,MetaRegressor,3,1,0,8,1,3
clones/scikit-learn/scikit-learn\examples\miscellaneous\plot_metadata_routing.py,WeightedMetaRegressor,3,1,0,10,1,3
clones/scikit-learn/scikit-learn\examples\miscellaneous\plot_metadata_routing.py,ExampleRegressor,2,1,0,5,0,1
clones/scikit-learn/scikit-learn\examples\neighbors\approximate_nearest_neighbors.py,NMSlibTransformer,3,1,0,14,0,3
clones/scikit-learn/scikit-learn\examples\svm\plot_rbf_parameters.py,MidpointNormalize,2,1,0,5,0,1
clones/scikit-learn/scikit-learn\sklearn\base.py,BaseEstimator,16,1,0,73,1,84
clones/scikit-learn/scikit-learn\sklearn\base.py,ClassifierMixin,2,1,0,4,0,1
clones/scikit-learn/scikit-learn\sklearn\base.py,RegressorMixin,2,1,0,4,0,1
clones/scikit-learn/scikit-learn\sklearn\base.py,ClusterMixin,2,1,0,3,0,1
clones/scikit-learn/scikit-learn\sklearn\base.py,BiclusterMixin,4,1,0,9,0,6
clones/scikit-learn/scikit-learn\sklearn\base.py,TransformerMixin,1,1,0,8,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,OneToOneFeatureMixin,1,1,0,3,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,ClassNamePrefixFeaturesOutMixin,1,1,0,3,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,DensityMixin,1,1,0,1,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,OutlierMixin,1,1,0,8,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,MetaEstimatorMixin,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,MultiOutputMixin,1,1,0,1,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,_UnstableArchMixin,1,1,0,3,0,0
clones/scikit-learn/scikit-learn\sklearn\calibration.py,CalibratedClassifierCV,7,1,0,50,2,15
clones/scikit-learn/scikit-learn\sklearn\calibration.py,_CalibratedClassifier,2,1,0,15,2,1
clones/scikit-learn/scikit-learn\sklearn\calibration.py,_SigmoidCalibration,2,1,0,6,0,1
clones/scikit-learn/scikit-learn\sklearn\calibration.py,CalibrationDisplay,4,1,0,15,0,5
clones/scikit-learn/scikit-learn\sklearn\discriminant_analysis.py,LinearDiscriminantAnalysis,10,1,0,56,2,30
clones/scikit-learn/scikit-learn\sklearn\discriminant_analysis.py,QuadraticDiscriminantAnalysis,7,1,0,33,1,11
clones/scikit-learn/scikit-learn\sklearn\dummy.py,DummyClassifier,7,1,0,43,1,15
clones/scikit-learn/scikit-learn\sklearn\dummy.py,DummyRegressor,5,1,0,26,1,9
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,UnsetMetadataPassedError,1,1,0,3,1,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,NotFittedError,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,ConvergenceWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,DataConversionWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,DataDimensionalityWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,EfficiencyWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,FitFailedWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,SkipTestWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,UndefinedMetricWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,PositiveSpectrumWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,InconsistentVersionWarning,2,1,0,2,0,1
clones/scikit-learn/scikit-learn\sklearn\isotonic.py,IsotonicRegression,12,1,0,46,0,38
clones/scikit-learn/scikit-learn\sklearn\kernel_approximation.py,PolynomialCountSketch,3,1,0,22,0,3
clones/scikit-learn/scikit-learn\sklearn\kernel_approximation.py,RBFSampler,4,1,0,17,0,6
clones/scikit-learn/scikit-learn\sklearn\kernel_approximation.py,SkewedChi2Sampler,4,1,0,17,0,6
clones/scikit-learn/scikit-learn\sklearn\kernel_approximation.py,AdditiveChi2Sampler,8,1,0,32,0,28
clones/scikit-learn/scikit-learn\sklearn\kernel_approximation.py,Nystroem,5,1,0,21,0,9
clones/scikit-learn/scikit-learn\sklearn\kernel_ridge.py,KernelRidge,5,1,0,19,0,9
clones/scikit-learn/scikit-learn\sklearn\multiclass.py,_ConstantPredictor,4,1,0,11,0,6
clones/scikit-learn/scikit-learn\sklearn\multiclass.py,OneVsRestClassifier,10,1,0,60,3,35
clones/scikit-learn/scikit-learn\sklearn\multiclass.py,OneVsOneClassifier,8,1,0,44,2,22
clones/scikit-learn/scikit-learn\sklearn\multiclass.py,OutputCodeClassifier,4,1,0,27,0,5
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,_MultiOutputEstimator,6,1,2,27,0,15
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,MultiOutputRegressor,2,2,0,6,2,0
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,MultiOutputClassifier,6,2,0,20,4,12
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,_BaseChain,4,1,2,33,2,3
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,ClassifierChain,5,2,0,24,3,7
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,RegressorChain,3,2,0,9,1,3
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,_BaseNB,6,1,2,14,2,9
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,GaussianNB,7,2,0,34,0,15
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,_BaseDiscreteNB,11,2,4,42,4,19
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,MultinomialNB,5,3,0,12,1,10
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,ComplementNB,5,3,0,12,1,10
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,BernoulliNB,6,3,0,17,3,12
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,CategoricalNB,11,3,0,36,3,45
clones/scikit-learn/scikit-learn\sklearn\pipeline.py,Pipeline,36,1,0,96,6,420
clones/scikit-learn/scikit-learn\sklearn\pipeline.py,FeatureUnion,21,1,0,69,4,132
clones/scikit-learn/scikit-learn\sklearn\random_projection.py,BaseRandomProjection,6,1,2,19,1,12
