arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/scikit-learn/scikit-learn\sklearn\cluster\_agglomerative.py,AgglomerativeClustering,4,1,1,24,1,3
clones/scikit-learn/scikit-learn\sklearn\cluster\_agglomerative.py,FeatureAgglomeration,3,2,0,7,2,2
clones/scikit-learn/scikit-learn\sklearn\cluster\_bicluster.py,BaseSpectral,6,1,2,23,2,12
clones/scikit-learn/scikit-learn\sklearn\cluster\_bicluster.py,SpectralCoclustering,2,2,0,12,3,1
clones/scikit-learn/scikit-learn\sklearn\cluster\_bicluster.py,SpectralBiclustering,5,2,0,25,4,0
clones/scikit-learn/scikit-learn\sklearn\cluster\_birch.py,_CFNode,4,1,0,16,2,3
clones/scikit-learn/scikit-learn\sklearn\cluster\_birch.py,_CFSubcluster,4,1,0,7,0,6
clones/scikit-learn/scikit-learn\sklearn\cluster\_birch.py,Birch,12,1,0,43,2,45
clones/scikit-learn/scikit-learn\sklearn\cluster\_dbscan.py,DBSCAN,3,1,0,23,0,3
clones/scikit-learn/scikit-learn\sklearn\cluster\_feature_agglomeration.py,AgglomerationTransform,2,1,0,10,0,1
clones/scikit-learn/scikit-learn\sklearn\cluster\_kmeans.py,KMeans,14,1,1,54,2,63
clones/scikit-learn/scikit-learn\sklearn\cluster\_kmeans.py,MiniBatchKMeans,11,2,0,45,6,45
clones/scikit-learn/scikit-learn\sklearn\cluster\_mean_shift.py,MeanShift,3,1,0,27,0,3
clones/scikit-learn/scikit-learn\sklearn\cluster\_optics.py,OPTICS,2,1,0,9,0,1
clones/scikit-learn/scikit-learn\sklearn\cluster\_spectral.py,SpectralClustering,5,1,0,17,0,9
clones/scikit-learn/scikit-learn\sklearn\cluster\tests\test_bicluster.py,MockBiclustering,2,1,0,3,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\_column_transformer.py,ColumnTransformer,23,1,0,101,0,63
clones/scikit-learn/scikit-learn\sklearn\compose\_column_transformer.py,make_column_selector,2,1,0,7,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\_target.py,TransformedTargetRegressor,6,1,0,28,0,12
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,Trans,2,1,1,5,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,DoubleTrans,2,1,0,2,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,SparseMatrixTrans,2,1,0,5,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,TransNo2D,2,1,0,2,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,TransRaise,2,1,0,3,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_column_transformer.py,TransWithNames,2,2,0,3,0,1
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_target.py,DummyCheckerArrayTransformer,3,1,0,4,0,3
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_target.py,DummyCheckerListRegressor,2,1,0,6,2,0
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_target.py,DummyTransformer,4,1,0,4,0,6
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_target.py,DummyRegressorWithExtraFitParams,1,1,0,3,1,0
clones/scikit-learn/scikit-learn\sklearn\compose\tests\test_target.py,DummyRegressorWithExtraPredictParams,1,1,0,3,1,0
