arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\applications\plot_outlier_detection_wine.py,140,58,71,24,30,19,0.0,83.94039550271519
clones/scikit-learn/scikit-learn\examples\applications\plot_out_of_core_classification.py,419,249,257,49,22,85,1.6666666666666667,46.76254060286919
clones/scikit-learn/scikit-learn\examples\applications\plot_prediction_latency.py,309,160,192,9,44,59,2.8181818181818183,56.86331787421006
clones/scikit-learn/scikit-learn\examples\applications\plot_species_distribution_modeling.py,230,99,108,27,47,48,2.3333333333333335,65.24236630117117
clones/scikit-learn/scikit-learn\examples\applications\plot_stock_market.py,262,71,138,30,46,48,0.0,68.37427993650472
clones/scikit-learn/scikit-learn\examples\applications\plot_tomography_l1_reconstruction.py,149,76,72,7,43,26,1.25,67.42088963612314
clones/scikit-learn/scikit-learn\examples\applications\plot_topics_extraction_with_nmf_lda.py,136,65,82,12,18,24,4.0,70.32653902413512
clones/scikit-learn/scikit-learn\examples\applications\svm_gui.py,337,246,253,7,18,54,2.1153846153846154,41.110350960875785
clones/scikit-learn/scikit-learn\examples\applications\wikipedia_principal_eigenvector.py,223,127,122,12,36,51,4.6,58.117939703781865
clones/scikit-learn/scikit-learn\examples\bicluster\plot_bicluster_newsgroups.py,152,81,89,5,27,31,2.0,67.77872129534867
clones/scikit-learn/scikit-learn\examples\bicluster\plot_spectral_biclustering.py,67,31,33,3,13,18,0.0,88.77715868267276
clones/scikit-learn/scikit-learn\examples\bicluster\plot_spectral_coclustering.py,58,28,27,3,13,15,0.0,100.0
clones/scikit-learn/scikit-learn\examples\calibration\plot_calibration.py,121,62,66,16,21,20,0.0,73.72795611817115
clones/scikit-learn/scikit-learn\examples\calibration\plot_calibration_curve.py,134,50,58,11,38,27,3.0,74.64369770157104
clones/scikit-learn/scikit-learn\examples\calibration\plot_calibration_multiclass.py,226,82,105,76,12,33,0.0,65.50629346945595
clones/scikit-learn/scikit-learn\examples\calibration\plot_compare_calibration.py,122,49,51,7,42,24,0.0,76.91965208352637
clones/scikit-learn/scikit-learn\examples\classification\plot_classification_probability.py,98,49,62,6,14,18,0.0,74.32497883117239
clones/scikit-learn/scikit-learn\examples\classification\plot_classifier_comparison.py,144,75,90,18,16,21,0.0,69.76978355044001
clones/scikit-learn/scikit-learn\examples\classification\plot_digits_classification.py,101,27,28,45,7,21,0.0,70.05437325571583
clones/scikit-learn/scikit-learn\examples\classification\plot_lda.py,81,44,49,6,13,18,2.0,75.49485601590546
clones/scikit-learn/scikit-learn\examples\classification\plot_lda_qda.py,151,95,101,17,10,25,1.5,63.384977430260356
clones/scikit-learn/scikit-learn\examples\cluster\plot_adjusted_for_chance_measures.py,125,58,69,5,23,28,3.0,73.43511699343102
clones/scikit-learn/scikit-learn\examples\cluster\plot_affinity_propagation.py,62,33,37,6,8,11,0.0,78.74570274758848
clones/scikit-learn/scikit-learn\examples\cluster\plot_agglomerative_clustering.py,80,32,39,8,20,13,0.0,79.42275951197125
clones/scikit-learn/scikit-learn\examples\cluster\plot_agglomerative_clustering_metrics.py,129,60,67,7,29,26,1.0,71.15376463875808
clones/scikit-learn/scikit-learn\examples\cluster\plot_agglomerative_dendrogram.py,52,27,27,8,7,11,4.0,86.57062803928785
clones/scikit-learn/scikit-learn\examples\cluster\plot_birch_vs_minibatchkmeans.py,102,55,63,10,12,17,0.0,72.54977804288339
clones/scikit-learn/scikit-learn\examples\cluster\plot_cluster_comparison.py,195,73,127,19,21,28,0.0,68.65360051179944
clones/scikit-learn/scikit-learn\examples\cluster\plot_cluster_iris.py,92,46,53,9,13,17,0.0,79.45799265112711
clones/scikit-learn/scikit-learn\examples\cluster\plot_coin_segmentation.py,89,40,41,16,15,17,0.0,78.43975552670722
clones/scikit-learn/scikit-learn\examples\cluster\plot_coin_ward_segmentation.py,77,38,39,16,8,15,0.0,82.3270992651675
clones/scikit-learn/scikit-learn\examples\cluster\plot_color_quantization.py,102,57,55,13,16,17,3.0,75.44605605199263
clones/scikit-learn/scikit-learn\examples\cluster\plot_dbscan.py,75,39,43,10,6,16,0.0,75.17350897100239
clones/scikit-learn/scikit-learn\examples\cluster\plot_dict_face_patches.py,84,41,44,5,18,17,0.0,76.82982049347017
clones/scikit-learn/scikit-learn\examples\cluster\plot_digits_agglomeration.py,61,37,39,5,7,10,0.0,80.18031181815633
clones/scikit-learn/scikit-learn\examples\cluster\plot_digits_linkage.py,91,41,43,10,16,22,2.0,78.92795023576143
clones/scikit-learn/scikit-learn\examples\cluster\plot_face_compress.py,81,46,44,13,8,19,0.0,77.46408252466978
clones/scikit-learn/scikit-learn\examples\cluster\plot_feature_agglomeration_vs_univariate_selection.py,108,72,67,20,10,18,0.0,72.47304361508479
clones/scikit-learn/scikit-learn\examples\cluster\plot_inductive_clustering.py,120,58,64,8,17,31,1.1666666666666667,75.82149825013147
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_assumptions.py,64,36,33,6,10,15,0.0,83.77632823161653
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_digits.py,185,60,71,50,36,29,2.0,68.20875416508383
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_plusplus.py,45,22,24,3,8,10,0.0,91.81970007244477
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_silhouette_analysis.py,139,49,61,26,27,28,0.0,73.77399936342952
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_stability_low_dim_dense.py,119,55,66,9,19,25,5.0,75.14226639594783
clones/scikit-learn/scikit-learn\examples\cluster\plot_linkage_comparison.py,149,61,87,14,19,29,0.0,72.84417931312831
clones/scikit-learn/scikit-learn\examples\cluster\plot_mean_shift.py,56,27,27,7,9,13,0.0,85.06647362070146
clones/scikit-learn/scikit-learn\examples\cluster\plot_mini_batch_kmeans.py,116,60,69,14,12,21,0.0,72.63335311562376
clones/scikit-learn/scikit-learn\examples\cluster\plot_optics.py,101,61,60,9,14,18,0.0,69.1818625775417
clones/scikit-learn/scikit-learn\examples\cluster\plot_segmentation_toy.py,101,40,39,16,21,25,0.0,71.05363561692073
clones/scikit-learn/scikit-learn\examples\cluster\plot_ward_structured_vs_unstructured.py,93,42,45,17,16,15,0.0,75.6154306569338
clones/scikit-learn/scikit-learn\examples\compose\plot_column_transformer.py,162,39,75,55,15,26,3.0,100.0
clones/scikit-learn/scikit-learn\examples\compose\plot_column_transformer_mixed_types.py,207,46,62,83,19,43,0.0,67.6269831337341
clones/scikit-learn/scikit-learn\examples\compose\plot_compare_reduction.py,128,41,57,28,21,23,0.0,78.75918893661003
clones/scikit-learn/scikit-learn\examples\compose\plot_digits_pipe.py,79,36,40,11,8,20,0.0,83.96162074474049
clones/scikit-learn/scikit-learn\examples\compose\plot_feature_union.py,59,20,21,8,13,17,0.0,100.0
clones/scikit-learn/scikit-learn\examples\compose\plot_transformed_target.py,223,112,123,53,10,37,0.0,69.02361641874977
clones/scikit-learn/scikit-learn\examples\covariance\plot_covariance_estimation.py,131,46,51,20,35,25,0.0,72.5436361687637
clones/scikit-learn/scikit-learn\examples\covariance\plot_lw_vs_oas.py,83,44,48,4,17,14,0.0,80.9628164894009
clones/scikit-learn/scikit-learn\examples\covariance\plot_mahalanobis_distances.py,193,58,113,50,0,31,0.0,75.1062249089399
clones/scikit-learn/scikit-learn\examples\covariance\plot_robust_vs_empirical_covariance.py,153,59,73,12,46,22,0.0,70.91791468988845
clones/scikit-learn/scikit-learn\examples\covariance\plot_sparse_cov.py,138,59,64,12,42,20,0.0,72.58354914788785
clones/scikit-learn/scikit-learn\examples\cross_decomposition\plot_compare_cross_decomposition.py,155,103,97,19,18,21,0.0,65.70004519897458
clones/scikit-learn/scikit-learn\examples\cross_decomposition\plot_pcr_vs_pls.py,157,54,60,48,30,21,0.0,71.27756276106685
clones/scikit-learn/scikit-learn\examples\datasets\plot_digits_last_image.py,35,8,7,7,12,9,0.0,70.1972568043408
clones/scikit-learn/scikit-learn\examples\datasets\plot_iris_dataset.py,68,37,33,10,13,13,0.0,82.99384876169425
clones/scikit-learn/scikit-learn\examples\datasets\plot_random_dataset.py,68,39,43,0,12,13,0.0,100.0
clones/scikit-learn/scikit-learn\examples\datasets\plot_random_multilabel_dataset.py,94,28,43,9,29,20,1.0,80.82553601111049
clones/scikit-learn/scikit-learn\examples\decomposition\plot_beta_divergence.py,29,18,17,0,7,5,0.0,95.86624630216222
clones/scikit-learn/scikit-learn\examples\decomposition\plot_faces_decomposition.py,193,66,125,26,9,34,2.0,67.82713407369187
clones/scikit-learn/scikit-learn\examples\decomposition\plot_ica_blind_source_separation.py,73,34,36,18,12,17,0.0,79.99466513743491
clones/scikit-learn/scikit-learn\examples\decomposition\plot_ica_vs_pca.py,105,50,49,11,24,24,3.0,75.64897880475421
clones/scikit-learn/scikit-learn\examples\decomposition\plot_image_denoising.py,166,92,98,12,26,30,1.0,64.71635206770895
clones/scikit-learn/scikit-learn\examples\decomposition\plot_incremental_pca.py,60,27,28,2,16,14,0.0,83.2276719422391
clones/scikit-learn/scikit-learn\examples\decomposition\plot_kernel_pca.py,80,47,53,5,7,15,0.0,77.88056648371192
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_3d.py,96,54,50,12,8,26,1.0,72.8571630230364
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_iris.py,60,28,31,5,8,16,0.0,84.50914107579965
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_vs_fa_model_selection.py,125,60,64,11,21,30,1.3333333333333333,73.37017829794412
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_vs_lda.py,60,28,30,1,15,14,0.0,86.0965562052713
clones/scikit-learn/scikit-learn\examples\decomposition\plot_sparse_coding.py,104,57,65,9,14,15,1.5,68.60749938120402
clones/scikit-learn/scikit-learn\examples\decomposition\plot_varimax_fa.py,80,41,42,8,15,15,0.0,84.82916887976384
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_hastie_10_2.py,112,51,66,5,15,26,0.0,75.01149791927986
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_multiclass.py,118,55,68,6,21,23,0.0,74.938800298193
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_regression.py,54,25,24,8,11,11,0.0,87.50655616966962
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_twoclass.py,103,50,63,8,16,16,0.0,75.6570392640583
clones/scikit-learn/scikit-learn\examples\ensemble\plot_bias_variance.py,191,78,79,16,54,46,2.0,65.6347983342786
clones/scikit-learn/scikit-learn\examples\ensemble\plot_ensemble_oob.py,86,26,40,13,17,16,0.0,88.9623656129484
