arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\applications\plot_prediction_latency.py,344,160,227,9,44,59,2.8181818181818183,55.580387614427714
clones/scikit-learn/scikit-learn\examples\applications\plot_species_distribution_modeling.py,248,98,125,27,47,49,2.3333333333333335,65.6347331178997
clones/scikit-learn/scikit-learn\examples\applications\plot_stock_market.py,276,70,152,30,46,48,0.0,68.36173916034139
clones/scikit-learn/scikit-learn\examples\applications\plot_tomography_l1_reconstruction.py,146,75,69,7,43,26,1.25,67.35784433522599
clones/scikit-learn/scikit-learn\examples\applications\plot_topics_extraction_with_nmf_lda.py,157,65,103,12,18,24,4.0,68.84474704450636
clones/scikit-learn/scikit-learn\examples\applications\svm_gui.py,383,245,295,7,18,58,2.1153846153846154,40.00925268890762
clones/scikit-learn/scikit-learn\examples\applications\wikipedia_principal_eigenvector.py,225,126,123,12,36,52,4.6,58.150984392172
clones/scikit-learn/scikit-learn\examples\bicluster\plot_bicluster_newsgroups.py,171,80,107,5,27,32,2.0,66.70255363741545
clones/scikit-learn/scikit-learn\examples\bicluster\plot_spectral_biclustering.py,65,30,31,3,13,18,0.0,89.22829278281264
clones/scikit-learn/scikit-learn\examples\bicluster\plot_spectral_coclustering.py,56,27,25,3,13,15,0.0,100.0
clones/scikit-learn/scikit-learn\examples\calibration\plot_calibration.py,135,61,79,16,21,21,0.0,73.54706923103544
clones/scikit-learn/scikit-learn\examples\calibration\plot_calibration_curve.py,337,111,153,120,13,50,1.3333333333333333,69.92400833367583
clones/scikit-learn/scikit-learn\examples\calibration\plot_calibration_multiclass.py,274,82,152,76,12,34,0.0,67.04714752584498
clones/scikit-learn/scikit-learn\examples\calibration\plot_compare_calibration.py,208,54,76,88,16,28,1.3333333333333333,68.75729254336856
clones/scikit-learn/scikit-learn\examples\classification\plot_classification_probability.py,95,48,58,6,14,19,0.0,74.94655629877929
clones/scikit-learn/scikit-learn\examples\classification\plot_classifier_comparison.py,165,74,113,17,16,20,0.0,68.25486968587748
clones/scikit-learn/scikit-learn\examples\classification\plot_digits_classification.py,104,27,31,45,7,21,0.0,73.84371420499785
clones/scikit-learn/scikit-learn\examples\classification\plot_lda.py,101,44,67,6,13,20,2.0,73.50203296798837
clones/scikit-learn/scikit-learn\examples\classification\plot_lda_qda.py,179,94,128,17,10,26,1.5,61.62962780222755
clones/scikit-learn/scikit-learn\examples\cluster\plot_adjusted_for_chance_measures.py,137,57,79,5,23,30,3.0,72.86825307891552
clones/scikit-learn/scikit-learn\examples\cluster\plot_affinity_propagation.py,71,32,46,6,8,11,0.0,77.67703873051649
clones/scikit-learn/scikit-learn\examples\cluster\plot_agglomerative_clustering.py,83,32,39,8,21,15,0.0,79.24183622414363
clones/scikit-learn/scikit-learn\examples\cluster\plot_agglomerative_clustering_metrics.py,140,60,75,7,29,29,1.0,70.92627672263215
clones/scikit-learn/scikit-learn\examples\cluster\plot_agglomerative_dendrogram.py,54,27,28,8,7,12,4.0,86.537864465833
clones/scikit-learn/scikit-learn\examples\cluster\plot_birch_vs_minibatchkmeans.py,110,55,64,10,18,18,0.0,73.40966038690851
clones/scikit-learn/scikit-learn\examples\cluster\plot_cluster_comparison.py,255,72,186,19,21,29,0.0,65.91177554515927
clones/scikit-learn/scikit-learn\examples\cluster\plot_cluster_iris.py,90,45,53,8,13,16,0.0,79.44318552705279
clones/scikit-learn/scikit-learn\examples\cluster\plot_coin_segmentation.py,114,41,45,32,17,20,0.0,72.96795570029195
