arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\ensemble\plot_random_forest_regression_multioutput.py,96,34,60,5,17,14,0.0,79.61587100218179
clones/scikit-learn/scikit-learn\examples\ensemble\plot_stack_predictors.py,258,75,122,73,13,50,1.0,75.84956493120555
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_decision_regions.py,73,28,35,5,19,14,0.0,100.0
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_probas.py,97,33,51,11,19,19,0.0,81.8239064162958
clones/scikit-learn/scikit-learn\examples\ensemble\plot_voting_regressor.py,93,31,33,21,19,20,0.0,100.0
clones/scikit-learn/scikit-learn\examples\exercises\plot_cv_diabetes.py,93,46,46,17,8,22,0.0,79.63977536166134
clones/scikit-learn/scikit-learn\examples\exercises\plot_digits_classification_exercise.py,37,17,15,2,10,10,0.0,88.07273886107147
clones/scikit-learn/scikit-learn\examples\exercises\plot_iris_exercise.py,78,49,47,5,8,18,0.0,75.59695375560929
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_feature_selection.py,133,44,58,36,14,25,0.0,76.99594068404019
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_feature_selection_pipeline.py,86,18,23,37,8,18,0.0,74.07725851059713
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_f_test_vs_mi.py,52,22,19,2,18,13,0.0,80.3191304948139
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_rfe_digits.py,57,20,39,6,0,13,0.0,90.34112412276806
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_rfe_with_cross_validation.py,93,21,41,31,7,15,0.0,100.0
clones/scikit-learn/scikit-learn\examples\feature_selection\plot_select_from_model_diabetes.py,198,53,69,88,15,26,0.0,64.79750590759005
clones/scikit-learn/scikit-learn\examples\frozen\plot_frozen_examples.py,98,24,37,37,10,14,0.0,84.5360047297496
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_compare_gpr_krr.py,396,92,204,135,21,36,0.0,68.85524262612347
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc.py,127,55,86,6,19,16,0.0,72.97242249222296
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_iris.py,66,38,35,10,9,14,0.0,80.7511831727616
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_isoprobability.py,97,50,57,8,9,23,1.0,71.89724855999114
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpc_xor.py,60,29,36,4,10,10,0.0,81.36051491641966
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_co2.py,228,50,76,103,17,32,0.0,59.869494827061324
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_noisy.py,227,78,114,81,9,23,2.0,70.85974482478255
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_noisy_targets.py,150,41,64,52,15,19,0.0,74.11005452146837
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_on_structured_data.py,190,72,99,13,39,39,3.0,69.1756576398967
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_prior_posterior.py,257,102,129,55,25,48,2.0,69.41398975750754
clones/scikit-learn/scikit-learn\examples\impute\plot_iterative_imputer_variants_comparison.py,156,49,82,19,35,23,0.0,89.5450822099629
clones/scikit-learn/scikit-learn\examples\impute\plot_missing_values.py,308,105,140,73,23,73,1.0,70.89538826837014
