arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\bicluster\plot_spectral_biclustering.py,123,33,36,50,17,20,0.0,68.23793141040485
clones/scikit-learn/scikit-learn\examples\bicluster\plot_spectral_coclustering.py,56,27,25,3,13,15,0.0,100.0
clones/scikit-learn/scikit-learn\examples\calibration\plot_calibration.py,144,61,79,24,21,22,0.0,73.88677767104663
clones/scikit-learn/scikit-learn\examples\calibration\plot_calibration_curve.py,336,111,153,119,13,50,1.3333333333333333,69.99845585905018
clones/scikit-learn/scikit-learn\examples\calibration\plot_calibration_multiclass.py,275,82,152,76,12,35,0.0,67.04714752584498
clones/scikit-learn/scikit-learn\examples\calibration\plot_compare_calibration.py,210,55,78,88,16,28,1.3333333333333333,69.26289791436868
clones/scikit-learn/scikit-learn\examples\classification\plot_classification_probability.py,96,37,62,7,14,15,0.0,81.63789786879904
clones/scikit-learn/scikit-learn\examples\classification\plot_classifier_comparison.py,159,68,112,12,16,19,0.0,68.03248140541756
clones/scikit-learn/scikit-learn\examples\classification\plot_digits_classification.py,128,35,42,53,7,26,0.0,70.92792955719221
clones/scikit-learn/scikit-learn\examples\classification\plot_lda.py,104,44,71,6,13,19,2.0,73.07372168262951
clones/scikit-learn/scikit-learn\examples\classification\plot_lda_qda.py,225,68,137,55,11,23,1.3333333333333333,71.26191702590289
clones/scikit-learn/scikit-learn\examples\cluster\plot_adjusted_for_chance_measures.py,230,57,90,91,15,34,2.3333333333333335,79.31418631880653
clones/scikit-learn/scikit-learn\examples\cluster\plot_affinity_propagation.py,74,32,45,9,8,12,0.0,79.40918495542596
clones/scikit-learn/scikit-learn\examples\cluster\plot_agglomerative_clustering.py,84,32,39,8,21,16,0.0,79.24183622414363
clones/scikit-learn/scikit-learn\examples\cluster\plot_agglomerative_clustering_metrics.py,146,63,80,7,29,30,1.0,70.2543329799882
clones/scikit-learn/scikit-learn\examples\cluster\plot_agglomerative_dendrogram.py,54,27,28,8,7,12,4.0,86.537864465833
clones/scikit-learn/scikit-learn\examples\cluster\plot_birch_vs_minibatchkmeans.py,109,54,63,10,18,18,0.0,73.87154598788068
clones/scikit-learn/scikit-learn\examples\cluster\plot_bisect_kmeans.py,64,28,29,5,12,18,0.0,100.0
clones/scikit-learn/scikit-learn\examples\cluster\plot_cluster_comparison.py,284,74,216,19,21,28,0.0,64.43639051025696
clones/scikit-learn/scikit-learn\examples\cluster\plot_cluster_iris.py,89,41,49,8,13,20,0.0,81.41037231311387
clones/scikit-learn/scikit-learn\examples\cluster\plot_coin_segmentation.py,106,34,39,31,17,19,0.0,72.80858314100008
clones/scikit-learn/scikit-learn\examples\cluster\plot_coin_ward_segmentation.py,93,29,40,26,8,20,0.0,84.45782750025192
clones/scikit-learn/scikit-learn\examples\cluster\plot_color_quantization.py,96,47,45,12,16,22,1.0,79.11094837365397
clones/scikit-learn/scikit-learn\examples\cluster\plot_dbscan.py,129,41,56,38,10,25,0.0,76.07572482056425
clones/scikit-learn/scikit-learn\examples\cluster\plot_dict_face_patches.py,91,40,42,10,18,21,0.0,76.92699594179875
clones/scikit-learn/scikit-learn\examples\cluster\plot_digits_agglomeration.py,59,36,39,3,7,10,0.0,79.11041415094803
clones/scikit-learn/scikit-learn\examples\cluster\plot_digits_linkage.py,88,32,37,6,21,24,3.0,80.4008190002208
clones/scikit-learn/scikit-learn\examples\cluster\plot_face_compress.py,193,66,79,83,7,25,0.0,67.08683839114126
clones/scikit-learn/scikit-learn\examples\cluster\plot_feature_agglomeration_vs_univariate_selection.py,113,69,63,27,10,19,0.0,73.366936567432
clones/scikit-learn/scikit-learn\examples\cluster\plot_hdbscan.py,245,83,98,115,11,21,15.0,58.07908357942628
clones/scikit-learn/scikit-learn\examples\cluster\plot_inductive_clustering.py,129,57,66,8,21,34,1.2857142857142858,79.99930242409657
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_assumptions.py,179,72,66,73,7,36,0.0,66.93070634714816
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_digits.py,203,59,86,50,36,32,2.0,71.82994146907002
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_plusplus.py,42,21,20,3,8,11,0.0,92.65504089289297
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_silhouette_analysis.py,159,48,80,26,27,29,0.0,75.65457602804244
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_stability_low_dim_dense.py,132,52,76,9,19,28,5.0,74.96441257117402
clones/scikit-learn/scikit-learn\examples\cluster\plot_linkage_comparison.py,175,59,113,14,19,29,0.0,71.49591252541606
clones/scikit-learn/scikit-learn\examples\cluster\plot_mean_shift.py,66,26,32,10,9,15,0.0,86.35145754122031
clones/scikit-learn/scikit-learn\examples\cluster\plot_mini_batch_kmeans.py,144,60,80,24,12,28,0.0,73.45277252561274
clones/scikit-learn/scikit-learn\examples\cluster\plot_optics.py,109,61,66,9,14,20,0.0,68.63654524355934
clones/scikit-learn/scikit-learn\examples\cluster\plot_segmentation_toy.py,119,42,41,27,21,30,0.0,67.12719489248897
clones/scikit-learn/scikit-learn\examples\cluster\plot_ward_structured_vs_unstructured.py,130,41,55,36,16,24,0.0,74.9841755010013
clones/scikit-learn/scikit-learn\examples\compose\plot_column_transformer.py,187,39,99,55,15,27,3.0,100.0
clones/scikit-learn/scikit-learn\examples\compose\plot_column_transformer_mixed_types.py,232,46,80,90,20,42,0.0,75.1385064447935
clones/scikit-learn/scikit-learn\examples\compose\plot_compare_reduction.py,132,38,59,33,17,24,0.0,90.89422820406331
clones/scikit-learn/scikit-learn\examples\compose\plot_digits_pipe.py,81,37,47,10,8,16,0.0,83.34544243181173
clones/scikit-learn/scikit-learn\examples\compose\plot_feature_union.py,62,20,23,8,13,18,0.0,100.0
clones/scikit-learn/scikit-learn\examples\compose\plot_transformed_target.py,233,90,128,54,10,41,1.0,75.75211996489776
clones/scikit-learn/scikit-learn\examples\covariance\plot_covariance_estimation.py,157,46,62,53,15,27,0.0,72.24714474796119
clones/scikit-learn/scikit-learn\examples\covariance\plot_lw_vs_oas.py,105,43,70,4,17,14,0.0,79.03103101214538
clones/scikit-learn/scikit-learn\examples\covariance\plot_mahalanobis_distances.py,213,59,132,50,0,32,0.0,74.2166773433175
clones/scikit-learn/scikit-learn\examples\covariance\plot_robust_vs_empirical_covariance.py,185,58,106,12,46,21,0.0,72.16666766394697
clones/scikit-learn/scikit-learn\examples\covariance\plot_sparse_cov.py,159,58,75,16,42,26,0.0,73.42828144917291
clones/scikit-learn/scikit-learn\examples\cross_decomposition\plot_compare_cross_decomposition.py,171,104,98,27,18,28,0.0,66.43302072412496
clones/scikit-learn/scikit-learn\examples\cross_decomposition\plot_pcr_vs_pls.py,166,53,68,48,30,22,0.0,74.21576394121136
clones/scikit-learn/scikit-learn\examples\datasets\plot_digits_last_image.py,31,7,6,5,12,8,0.0,69.39996296992675
clones/scikit-learn/scikit-learn\examples\datasets\plot_iris_dataset.py,89,24,29,30,13,18,0.0,84.60227512486806
clones/scikit-learn/scikit-learn\examples\datasets\plot_random_dataset.py,60,36,35,0,12,13,0.0,100.0
clones/scikit-learn/scikit-learn\examples\datasets\plot_random_multilabel_dataset.py,106,27,55,9,29,20,1.0,82.88939261898943
clones/scikit-learn/scikit-learn\examples\decomposition\plot_faces_decomposition.py,336,79,144,134,11,48,2.0,69.24378735106204
clones/scikit-learn/scikit-learn\examples\decomposition\plot_ica_blind_source_separation.py,82,33,37,23,12,20,0.0,78.92729878688216
clones/scikit-learn/scikit-learn\examples\decomposition\plot_ica_vs_pca.py,115,47,56,12,24,26,3.0,77.60311613662859
clones/scikit-learn/scikit-learn\examples\decomposition\plot_image_denoising.py,189,90,107,23,26,35,1.0,65.71939122780815
clones/scikit-learn/scikit-learn\examples\decomposition\plot_incremental_pca.py,63,26,31,2,16,14,0.0,83.70407008722738
clones/scikit-learn/scikit-learn\examples\decomposition\plot_kernel_pca.py,165,53,52,76,14,23,0.0,100.0
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_3d.py,99,54,49,14,8,29,1.0,73.35720906840838
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_iris.py,59,26,31,5,8,16,0.0,86.89700914891802
