arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/django/django\django\contrib\gis\db\backends\oracle\models.py,OracleSpatialRefSys,1,1,0,1,0,0
clones/django/django\django\contrib\gis\db\backends\oracle\operations.py,SDOOperator,0,1,0,0,0,0
clones/django/django\django\contrib\gis\db\backends\oracle\operations.py,SDODWithin,0,1,0,0,0,0
clones/django/django\django\contrib\gis\db\backends\oracle\operations.py,SDODisjoint,0,1,0,0,0,0
clones/django/django\django\contrib\gis\db\backends\oracle\operations.py,SDORelate,2,1,0,8,0,1
clones/django/django\django\contrib\gis\db\backends\oracle\operations.py,OracleOperations,11,1,0,29,0,52
clones/django/django\django\contrib\gis\db\backends\oracle\schema.py,OracleGISSchemaEditor,9,1,0,25,0,0
clones/django/django\django\contrib\gis\db\backends\postgis\adapter.py,PostGISAdapter,8,1,0,17,0,27
clones/django/django\django\contrib\gis\db\backends\postgis\base.py,DatabaseWrapper,2,1,0,11,0,0
clones/django/django\django\contrib\gis\db\backends\postgis\features.py,DatabaseFeatures,0,1,0,0,0,0
clones/django/django\django\contrib\gis\db\backends\postgis\introspection.py,PostGISIntrospection,2,1,0,13,0,1
clones/django/django\django\contrib\gis\db\backends\postgis\models.py,PostGISGeometryColumns,3,1,0,3,0,3
clones/django/django\django\contrib\gis\db\backends\postgis\models.py,Meta,0,1,0,0,0,0
clones/django/django\django\contrib\gis\db\backends\postgis\models.py,PostGISSpatialRefSys,1,1,0,1,0,0
clones/django/django\django\contrib\gis\db\backends\postgis\operations.py,PostGISOperator,3,1,0,9,1,0
clones/django/django\django\contrib\gis\db\backends\postgis\operations.py,ST_Polygon,2,1,0,8,1,1
clones/django/django\django\contrib\gis\db\backends\postgis\operations.py,PostGISOperations,23,1,0,56,0,232
clones/django/django\django\contrib\gis\db\backends\postgis\schema.py,PostGISSchemaEditor,4,1,0,17,0,0
clones/django/django\django\contrib\gis\db\backends\spatialite\adapter.py,SpatiaLiteAdapter,1,1,0,2,0,0
clones/django/django\django\contrib\gis\db\backends\spatialite\base.py,DatabaseWrapper,3,1,0,16,0,0
clones/django/django\django\contrib\gis\db\backends\spatialite\client.py,SpatiaLiteClient,0,1,0,0,0,0
clones/django/django\django\contrib\gis\db\backends\spatialite\features.py,DatabaseFeatures,2,1,0,6,0,1
clones/django/django\django\contrib\gis\db\backends\spatialite\introspection.py,GeoFlexibleFieldLookupDict,0,1,0,0,0,0
clones/django/django\django\contrib\gis\db\backends\spatialite\introspection.py,SpatiaLiteIntrospection,2,1,0,11,0,1
clones/django/django\django\contrib\gis\db\backends\spatialite\models.py,SpatialiteGeometryColumns,3,1,0,3,0,3
clones/django/django\django\contrib\gis\db\backends\spatialite\models.py,Meta,0,1,0,0,0,0
clones/django/django\django\contrib\gis\db\backends\spatialite\models.py,SpatialiteSpatialRefSys,1,1,0,1,0,0
clones/django/django\django\contrib\gis\db\backends\spatialite\operations.py,SpatialiteNullCheckOperator,1,1,0,3,0,0
clones/django/django\django\contrib\gis\db\backends\spatialite\operations.py,SpatiaLiteOperations,17,1,0,40,0,121
clones/django/django\django\contrib\gis\db\backends\spatialite\schema.py,SpatialiteSchemaEditor,9,1,0,26,0,0
clones/django/django\django\contrib\gis\db\models\aggregates.py,GeoAggregate,4,1,5,18,0,3
clones/django/django\django\contrib\gis\db\models\aggregates.py,Collect,0,2,0,0,0,0
clones/django/django\django\contrib\gis\db\models\aggregates.py,Extent,2,2,0,6,1,1
clones/django/django\django\contrib\gis\db\models\aggregates.py,Extent3D,2,2,0,6,1,1
clones/django/django\django\contrib\gis\db\models\aggregates.py,MakeLine,0,2,0,0,0,0
clones/django/django\django\contrib\gis\db\models\aggregates.py,Union,0,2,0,0,0,0
